"# Backoff Power Limit Table (unit is 1 dBm, resolution level is ?0.5 dBm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,BW20 (HT/VHT),,,,,,,,,,,,,,,,,,,BW40 (HT/VHT),,,,,,,,,,,,,,,,,,,BW80 (HT/VHT),,,,,,,,,,,,,,,,,,,BW160 (HT/VHT),,,,,,,,,,,,,,,,,,,RU26,,,,,,,,,,,,,,,,,,,,RU52,,,,,,,,,,,,,,,,,,,,RU106,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,BF OFF,,,,,,,,,,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Ch68,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch72,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch76,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch80,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch84,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch88,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch92,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch96,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch100,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch104,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch108,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch112,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch116,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch120,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch124,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch128,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch132,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch136,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch140,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch144,8,8,8,8,22,22,22,22,19,17.5,16,22,22,22,22,22,22,22,22,22,22,19,17.5,16,22,20.5,19,22,21,22,21,21,21,21,21,21,21,21,21,21,18,16.5,15,21,19.5,18,21,20,21,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,12,10.5,16.5,15,13.5,16.5,15.5,16.5
Ch149,8,8,8,8,25.5,25.5,25.5,25.5,22.5,21,19.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,21,19.5,25.5,24,22.5,25.5,24.5,25.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,20,18.5,24.5,23,21.5,24.5,23.5,24.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,18,16.5,22.5,21,19.5,22.5,21.5,22.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,18,16.5,22.5,21,19.5,22.5,21.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,18,16.5,22.5,21,19.5,22.5,21.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,18,16.5,22.5,21,19.5,22.5,21.5,22.5
Ch153,8,8,8,8,25.5,25.5,25.5,25.5,22.5,21,19.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,21,19.5,25.5,24,22.5,25.5,24.5,25.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,20,18.5,24.5,23,21.5,24.5,23.5,24.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,18,16.5,22.5,21,19.5,22.5,21.5,22.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,18,16.5,22.5,21,19.5,22.5,21.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,18,16.5,22.5,21,19.5,22.5,21.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,18,16.5,22.5,21,19.5,22.5,21.5,22.5
Ch157,8,8,8,8,25.5,25.5,25.5,25.5,22.5,21,19.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,21,19.5,25.5,24,22.5,25.5,24.5,25.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,20,18.5,24.5,23,21.5,24.5,23.5,24.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,18,16.5,22.5,21,19.5,22.5,21.5,22.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,21,19.5,25.5,24,22.5,25.5,24.5,25.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,21,19.5,25.5,24,22.5,25.5,24.5,25.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,21,19.5,25.5,24,22.5,25.5,24.5,25.5
Ch161,8,8,8,8,25,25,25,25,22,20.5,19,25,25,25,25,25,25,25,25,25,25,25,20.5,19,25,23.5,22,25,24,25,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,21,19.5,25.5,24,22.5,25.5,24.5,25.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,18,16.5,22.5,21,19.5,22.5,21.5,22.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,18,16.5,22.5,21,19.5,22.5,21.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,18,16.5,22.5,21,19.5,22.5,21.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,18,16.5,22.5,21,19.5,22.5,21.5,22.5
Ch165,8,8,8,8,25,25,25,25,22,20.5,19,25,25,25,25,25,25,25,25,25,25,25,20.5,19,25,23.5,22,25,24,25,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,21,19.5,25.5,24,22.5,25.5,24.5,25.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,18,16.5,22.5,21,19.5,22.5,21.5,22.5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,18,16.5,22.5,21,19.5,22.5,21.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,18,16.5,22.5,21,19.5,22.5,21.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,18,16.5,22.5,21,19.5,22.5,21.5,22.5
Ch169,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ch173,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ch177,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ch181,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
